TypeEtab,Genre,Niveau,RetardSco,Provenance,Handicap,SocialAid,CD_MIL,Moy,Result
Private,Female,Tertiary,1 year,Urban,Yes,No,8892,10.0,Fail
Private,Male,Tertiary,1 year,Suburban,No,No,7863,10.9,Pass
Private,Female,Primary,1 year,Urban,No,No,8916,11.3,Fail
Private,Female,Secondary,2 years,Urban,No,Yes,9529,12.9,Fail
Private,Female,Secondary,None,Suburban,No,Yes,1878,17.6,Fail
Private,Female,Secondary,1 year,Rural,Yes,No,5887,15.1,Pass
Public,Female,Tertiary,2 years,Urban,Yes,No,5859,17.9,Pass
Private,Male,Tertiary,None,Rural,No,Yes,7331,17.5,Fail
Private,Male,Primary,None,Urban,Yes,Yes,9571,15.9,Pass
Public,Male,Tertiary,1 year,Suburban,Yes,No,9684,15.0,Pass
Private,Male,Tertiary,2 years,Rural,No,No,8208,19.3,Fail
Private,Female,Secondary,1 year,Suburban,Yes,No,6276,15.7,Pass
Public,Female,Tertiary,1 year,Suburban,No,Yes,3062,14.8,Fail
Private,Female,Tertiary,2 years,Rural,Yes,No,1064,18.7,Fail
Public,Male,Tertiary,1 year,Rural,No,No,9006,10.7,Pass
Private,Male,Primary,2 years,Rural,Yes,Yes,3568,16.6,Fail
Public,Male,Tertiary,2 years,Suburban,Yes,No,6463,11.1,Pass
Public,Male,Primary,1 year,Suburban,No,Yes,3027,18.2,Fail
Public,Female,Secondary,1 year,Suburban,Yes,No,3695,17.9,Fail
Private,Female,Tertiary,None,Rural,No,Yes,6258,15.0,Fail
Private,Male,Primary,None,Urban,Yes,Yes,6618,16.6,Pass
Public,Female,Secondary,2 years,Rural,No,Yes,7736,17.7,Pass
Public,Male,Tertiary,2 years,Urban,Yes,Yes,1391,14.8,Fail
Private,Male,Primary,2 years,Suburban,Yes,Yes,6892,19.1,Fail
Private,Male,Primary,None,Urban,Yes,No,4561,14.4,Pass
Private,Male,Secondary,1 year,Rural,Yes,Yes,7184,18.9,Fail
Private,Female,Tertiary,1 year,Rural,Yes,No,4099,15.8,Fail
Private,Female,Tertiary,None,Rural,No,Yes,7278,14.3,Pass
Public,Male,Tertiary,1 year,Urban,No,No,9392,10.0,Fail
Private,Male,Primary,1 year,Rural,No,No,4104,13.0,Fail
Public,Female,Tertiary,1 year,Urban,No,No,8215,18.7,Pass
Private,Female,Primary,None,Suburban,Yes,Yes,3454,14.3,Pass
Public,Male,Primary,2 years,Urban,No,No,9996,14.2,Fail
Public,Male,Secondary,1 year,Suburban,No,No,3731,14.9,Pass
Private,Male,Primary,1 year,Urban,Yes,Yes,9154,12.9,Fail
Public,Male,Secondary,2 years,Suburban,No,No,6056,14.9,Pass
Public,Male,Secondary,1 year,Rural,Yes,No,9110,13.8,Fail
Public,Female,Tertiary,1 year,Urban,No,Yes,4840,19.1,Fail
Public,Female,Secondary,2 years,Suburban,Yes,Yes,2028,15.6,Fail
Private,Male,Tertiary,None,Rural,Yes,Yes,8385,18.3,Pass
Public,Male,Secondary,None,Rural,Yes,Yes,1502,16.9,Pass
Private,Male,Primary,1 year,Suburban,No,No,7910,12.1,Pass
Public,Male,Tertiary,1 year,Suburban,Yes,No,7938,18.7,Fail
Private,Female,Primary,2 years,Urban,No,Yes,5488,10.9,Pass
Private,Female,Tertiary,2 years,Suburban,Yes,No,1206,14.5,Pass
Private,Male,Primary,1 year,Suburban,Yes,No,6134,12.4,Pass
Public,Female,Secondary,1 year,Rural,Yes,Yes,6977,15.4,Pass
Private,Male,Tertiary,None,Suburban,Yes,No,8721,13.0,Fail
Private,Male,Tertiary,None,Suburban,Yes,No,8035,17.2,Pass
Public,Female,Tertiary,None,Suburban,Yes,Yes,2484,19.4,Pass
Private,Male,Secondary,None,Rural,No,No,8858,17.1,Fail
Public,Female,Primary,2 years,Rural,Yes,Yes,1863,13.6,Fail
Public,Male,Secondary,None,Rural,Yes,No,3790,16.0,Pass
Private,Male,Secondary,None,Rural,No,No,8408,18.9,Pass
Public,Male,Secondary,1 year,Urban,No,Yes,9755,12.7,Fail
Public,Male,Primary,None,Rural,Yes,No,6116,11.2,Fail
Public,Female,Secondary,1 year,Rural,Yes,Yes,7019,11.3,Pass
Private,Male,Tertiary,1 year,Urban,Yes,Yes,2757,14.9,Pass
Public,Female,Secondary,None,Urban,Yes,Yes,8574,17.3,Pass
Public,Female,Primary,None,Urban,No,No,7374,16.6,Pass
Public,Male,Tertiary,1 year,Suburban,No,No,7892,14.5,Fail
Private,Female,Primary,2 years,Rural,No,Yes,2678,17.3,Fail
Public,Male,Secondary,1 year,Suburban,No,Yes,4242,16.3,Fail
Private,Female,Primary,2 years,Urban,No,Yes,5636,16.3,Fail
Public,Female,Tertiary,2 years,Urban,Yes,No,2059,12.0,Pass
Private,Male,Primary,None,Urban,No,Yes,7668,13.1,Fail
Private,Male,Tertiary,None,Urban,Yes,No,4157,13.4,Fail
Private,Female,Tertiary,None,Suburban,No,Yes,6915,18.1,Pass
Public,Male,Secondary,None,Urban,No,No,3693,17.8,Fail
Public,Male,Secondary,1 year,Rural,Yes,No,4627,12.5,Fail
Public,Female,Tertiary,2 years,Rural,Yes,No,6450,10.6,Pass
Private,Female,Primary,1 year,Rural,Yes,No,2663,17.7,Fail
Public,Male,Tertiary,2 years,Suburban,Yes,No,6592,14.1,Fail
Public,Female,Secondary,1 year,Urban,Yes,No,8392,12.2,Pass
Private,Male,Primary,2 years,Suburban,Yes,Yes,2306,11.2,Pass
Public,Male,Tertiary,None,Rural,No,Yes,7776,10.1,Pass
Public,Female,Secondary,2 years,Urban,No,Yes,6864,14.3,Fail
Private,Male,Tertiary,None,Suburban,No,No,8526,13.4,Fail
Private,Female,Tertiary,2 years,Urban,No,No,9901,17.0,Fail
Public,Male,Tertiary,1 year,Urban,No,No,6575,19.8,Pass
Private,Male,Primary,2 years,Suburban,No,Yes,6530,12.1,Fail
Public,Male,Secondary,1 year,Rural,No,No,5413,12.4,Fail
Public,Female,Secondary,1 year,Suburban,No,Yes,4748,13.4,Pass
Public,Female,Tertiary,None,Suburban,Yes,Yes,1663,14.7,Pass
Public,Male,Tertiary,2 years,Rural,No,Yes,2998,17.0,Fail
Public,Female,Tertiary,1 year,Suburban,No,No,8994,13.5,Pass
Private,Female,Primary,2 years,Urban,Yes,Yes,2495,11.0,Pass
Private,Male,Secondary,None,Rural,Yes,Yes,4304,17.3,Pass
Public,Female,Tertiary,None,Suburban,No,No,4763,17.9,Pass
Private,Female,Secondary,2 years,Urban,Yes,Yes,6232,12.5,Fail
Private,Female,Tertiary,1 year,Rural,Yes,Yes,2853,11.4,Fail
Public,Male,Secondary,1 year,Suburban,Yes,Yes,7585,15.3,Pass
Private,Male,Tertiary,1 year,Rural,Yes,No,2291,12.1,Fail
Private,Female,Primary,2 years,Urban,No,No,4581,13.7,Pass
Public,Male,Tertiary,1 year,Urban,Yes,No,8554,17.8,Pass
Public,Female,Tertiary,1 year,Rural,No,No,8280,12.2,Pass
Public,Male,Tertiary,1 year,Urban,Yes,Yes,2636,18.1,Pass
Public,Female,Tertiary,None,Urban,Yes,No,4696,16.7,Pass
Public,Male,Tertiary,1 year,Rural,Yes,No,1698,12.2,Pass
Public,Female,Secondary,2 years,Rural,Yes,Yes,5737,15.3,Fail
Public,Male,Secondary,2 years,Suburban,Yes,Yes,1854,16.1,Fail
Private,Female,Primary,1 year,Suburban,Yes,No,9164,12.0,Pass
Public,Male,Tertiary,2 years,Rural,Yes,Yes,6855,11.4,Fail
Private,Male,Secondary,2 years,Urban,Yes,Yes,8392,15.3,Pass
Private,Male,Secondary,1 year,Urban,Yes,No,7528,16.9,Fail
Public,Female,Tertiary,None,Rural,No,No,6249,14.7,Fail
Private,Female,Tertiary,1 year,Rural,No,Yes,6172,10.7,Fail
Private,Female,Primary,2 years,Rural,No,Yes,2707,19.3,Pass
Private,Male,Primary,2 years,Urban,Yes,No,6791,16.9,Fail
Public,Female,Secondary,1 year,Suburban,Yes,No,6535,16.2,Pass
Private,Male,Primary,2 years,Suburban,Yes,No,5931,16.4,Pass
Private,Male,Secondary,None,Urban,No,Yes,4510,14.0,Pass
Public,Male,Primary,1 year,Suburban,Yes,Yes,1202,19.8,Fail
Private,Female,Tertiary,2 years,Rural,No,Yes,5218,11.3,Pass
Private,Male,Primary,None,Rural,No,No,9958,17.4,Fail
Private,Female,Secondary,2 years,Urban,Yes,No,5389,14.2,Fail
Private,Female,Primary,None,Urban,No,No,3327,18.8,Fail
Private,Male,Secondary,2 years,Rural,Yes,No,9004,17.2,Pass
Public,Female,Secondary,1 year,Rural,No,No,3931,15.6,Pass
Private,Male,Primary,2 years,Urban,Yes,Yes,8777,19.4,Fail
Public,Male,Primary,1 year,Urban,Yes,Yes,1197,19.1,Pass
Private,Female,Secondary,None,Rural,Yes,Yes,8125,10.5,Fail
Public,Male,Tertiary,None,Rural,Yes,Yes,2930,11.9,Pass
Public,Male,Primary,2 years,Suburban,Yes,Yes,7287,16.8,Fail
Public,Male,Secondary,1 year,Suburban,No,Yes,9800,19.2,Pass
Private,Female,Tertiary,1 year,Rural,Yes,No,5282,14.3,Fail
Private,Female,Secondary,None,Urban,Yes,No,3511,10.4,Pass
Private,Female,Primary,None,Suburban,No,No,1659,16.4,Pass
Private,Male,Secondary,2 years,Suburban,No,No,3811,11.9,Fail
Private,Male,Secondary,None,Rural,Yes,Yes,8098,15.5,Pass
Public,Female,Secondary,None,Urban,No,Yes,7546,13.8,Fail
Public,Female,Primary,1 year,Urban,Yes,Yes,2986,15.6,Pass
Public,Female,Tertiary,1 year,Rural,Yes,No,9338,19.3,Fail
Private,Female,Tertiary,1 year,Urban,Yes,No,3911,14.9,Fail
Private,Female,Tertiary,None,Rural,No,No,2734,10.3,Pass
Public,Male,Tertiary,2 years,Urban,Yes,Yes,2843,15.8,Fail
Private,Female,Primary,2 years,Rural,Yes,Yes,9680,13.3,Fail
Private,Male,Secondary,None,Urban,Yes,No,3976,17.8,Pass
Public,Male,Tertiary,2 years,Rural,Yes,No,2959,14.7,Fail
Public,Male,Tertiary,None,Rural,Yes,No,6759,17.4,Pass
Private,Male,Primary,2 years,Urban,Yes,No,7694,19.1,Fail
Private,Female,Secondary,None,Rural,Yes,No,3385,13.6,Pass
Public,Male,Secondary,1 year,Suburban,No,No,5736,19.9,Fail
Private,Female,Tertiary,2 years,Urban,Yes,Yes,2802,11.5,Fail
Public,Male,Tertiary,1 year,Rural,Yes,No,9155,16.4,Pass
Public,Female,Secondary,1 year,Urban,Yes,Yes,9120,10.3,Fail
Public,Female,Primary,2 years,Urban,No,Yes,7616,12.1,Fail
Private,Male,Secondary,None,Rural,No,No,6534,16.3,Fail
Public,Female,Secondary,1 year,Suburban,Yes,Yes,5061,10.5,Fail
Public,Male,Tertiary,1 year,Urban,Yes,No,1262,11.0,Fail
Private,Female,Primary,None,Suburban,No,No,7287,12.9,Fail
Public,Male,Primary,None,Suburban,Yes,No,9815,15.8,Fail
Private,Male,Primary,2 years,Rural,Yes,No,3049,10.2,Fail
Private,Female,Tertiary,2 years,Rural,Yes,Yes,6423,14.8,Fail
Private,Female,Primary,None,Urban,Yes,Yes,5548,16.3,Fail
Public,Male,Primary,1 year,Rural,No,No,4108,14.0,Pass
Public,Male,Tertiary,None,Urban,Yes,Yes,8158,10.7,Pass
Private,Female,Secondary,2 years,Urban,No,No,8400,16.1,Pass
Private,Male,Primary,1 year,Suburban,Yes,No,4170,16.1,Pass
Private,Male,Secondary,1 year,Rural,No,No,3255,15.1,Pass
Public,Male,Primary,2 years,Rural,Yes,No,2154,16.9,Fail
Private,Female,Secondary,1 year,Urban,Yes,No,5499,12.1,Fail
Private,Male,Secondary,None,Suburban,No,Yes,7295,16.8,Fail
Private,Male,Tertiary,2 years,Rural,Yes,Yes,7197,11.6,Pass
Public,Female,Tertiary,1 year,Suburban,No,Yes,2648,13.9,Pass
Private,Male,Primary,2 years,Suburban,No,No,6539,10.7,Fail
Public,Male,Primary,1 year,Urban,Yes,No,5199,18.2,Fail
Public,Male,Tertiary,None,Rural,Yes,Yes,9445,15.4,Fail
Private,Male,Primary,2 years,Rural,No,Yes,3557,19.7,Fail
Private,Female,Primary,1 year,Rural,No,No,6592,19.4,Pass
Private,Male,Tertiary,None,Suburban,No,No,1098,20.0,Pass
Public,Male,Secondary,None,Rural,Yes,No,3200,11.0,Pass
Public,Male,Primary,None,Urban,Yes,No,3961,16.1,Pass
Public,Male,Tertiary,1 year,Suburban,Yes,Yes,5973,14.1,Fail
Private,Male,Primary,1 year,Rural,No,Yes,5433,15.3,Fail
Public,Female,Primary,None,Suburban,Yes,No,3869,13.1,Fail
Private,Female,Tertiary,None,Suburban,No,Yes,1956,10.5,Fail
Private,Male,Tertiary,None,Suburban,No,Yes,9352,17.1,Pass
Private,Male,Primary,None,Urban,No,No,6699,19.7,Fail
Public,Female,Primary,None,Rural,Yes,Yes,7944,15.3,Fail
Public,Female,Secondary,1 year,Rural,Yes,No,5493,13.3,Pass
Public,Female,Secondary,2 years,Suburban,No,Yes,5911,19.4,Fail
Private,Male,Tertiary,2 years,Rural,No,No,4987,13.6,Fail
Public,Male,Primary,2 years,Suburban,No,No,7015,19.1,Pass
Public,Male,Tertiary,1 year,Suburban,No,Yes,2218,18.6,Pass
Private,Male,Tertiary,2 years,Suburban,Yes,No,5496,15.3,Fail
Private,Male,Primary,2 years,Urban,Yes,No,5735,16.8,Pass
Public,Male,Secondary,2 years,Rural,No,No,5555,17.0,Fail
Private,Female,Tertiary,2 years,Suburban,Yes,No,9050,16.4,Fail
Public,Female,Tertiary,None,Rural,Yes,Yes,4446,11.6,Fail
Private,Male,Primary,1 year,Urban,Yes,No,2045,16.9,Pass
Private,Male,Secondary,2 years,Urban,Yes,Yes,7893,10.0,Fail
Public,Male,Secondary,None,Suburban,No,Yes,2693,17.1,Fail
Private,Female,Primary,2 years,Urban,Yes,Yes,4436,15.5,Fail
Private,Female,Tertiary,2 years,Urban,No,No,9754,12.6,Fail
Private,Female,Primary,2 years,Urban,Yes,Yes,6895,18.0,Fail
Public,Female,Primary,2 years,Urban,No,No,4354,14.1,Fail
Private,Male,Secondary,2 years,Urban,No,No,1225,14.9,Pass
Private,Female,Tertiary,None,Urban,Yes,No,5893,10.3,Pass
Public,Female,Tertiary,2 years,Rural,Yes,Yes,8022,14.0,Pass
Public,Male,Secondary,None,Urban,Yes,No,6600,11.7,Pass
Private,Male,Tertiary,2 years,Rural,Yes,Yes,8996,12.8,Fail
Private,Male,Tertiary,1 year,Suburban,No,No,8683,12.5,Fail
Private,Female,Primary,None,Urban,No,No,5642,10.5,Pass
Public,Male,Primary,2 years,Urban,Yes,Yes,8679,14.6,Pass
Private,Female,Primary,None,Rural,No,No,9208,15.2,Pass
Public,Female,Tertiary,2 years,Urban,No,No,8339,15.7,Pass
Public,Female,Tertiary,2 years,Rural,Yes,Yes,3205,14.6,Fail
Private,Female,Tertiary,None,Rural,Yes,Yes,2069,18.7,Pass
Private,Male,Tertiary,2 years,Urban,No,Yes,4444,10.4,Fail
Public,Male,Secondary,2 years,Suburban,Yes,Yes,2060,16.1,Fail
Private,Female,Secondary,2 years,Suburban,Yes,Yes,3327,18.7,Fail
Private,Male,Tertiary,2 years,Suburban,No,No,4420,10.4,Pass
Public,Female,Primary,2 years,Rural,No,No,1301,15.0,Pass
Private,Female,Primary,2 years,Rural,Yes,Yes,1606,15.9,Pass
Public,Male,Secondary,None,Urban,No,Yes,4170,11.9,Fail
Private,Male,Secondary,1 year,Rural,No,No,1699,12.5,Pass
Public,Female,Tertiary,2 years,Suburban,Yes,Yes,6088,17.9,Fail
Public,Male,Tertiary,None,Urban,No,No,1190,15.7,Fail
Private,Female,Tertiary,1 year,Suburban,Yes,Yes,1980,13.2,Fail
Public,Male,Tertiary,None,Urban,Yes,No,3975,17.6,Fail
Public,Female,Tertiary,1 year,Suburban,No,No,7102,17.5,Pass
Private,Female,Primary,1 year,Urban,No,Yes,2184,13.5,Fail
Private,Male,Primary,1 year,Suburban,Yes,Yes,4327,14.9,Fail
Private,Male,Tertiary,None,Rural,No,No,4394,16.6,Fail
Public,Female,Primary,1 year,Suburban,No,No,9319,13.4,Fail
Public,Male,Tertiary,2 years,Urban,Yes,Yes,2816,16.3,Pass
Public,Male,Tertiary,2 years,Suburban,No,Yes,6854,12.5,Fail
Private,Female,Secondary,1 year,Rural,No,No,7709,12.9,Fail
Public,Female,Primary,1 year,Urban,No,No,1569,13.1,Fail
Public,Male,Primary,2 years,Rural,Yes,No,6442,19.4,Pass
Private,Male,Secondary,None,Suburban,No,Yes,2895,18.3,Pass
Public,Female,Primary,None,Urban,Yes,Yes,3733,15.7,Pass
Private,Female,Secondary,2 years,Suburban,No,Yes,4863,15.6,Fail
Private,Female,Primary,None,Urban,No,Yes,8455,10.6,Pass
Private,Female,Tertiary,None,Rural,Yes,Yes,5014,16.5,Fail
Public,Female,Secondary,1 year,Rural,No,No,2686,13.3,Pass
Public,Female,Tertiary,None,Rural,No,No,4009,16.1,Pass
Public,Female,Tertiary,2 years,Suburban,No,Yes,8806,18.4,Fail
Private,Female,Primary,None,Urban,Yes,No,1154,10.5,Pass
Private,Male,Secondary,1 year,Rural,Yes,No,2409,16.1,Pass
Private,Male,Tertiary,2 years,Suburban,Yes,No,1784,15.6,Fail
Public,Male,Tertiary,2 years,Suburban,No,No,9096,12.1,Fail
Public,Female,Secondary,2 years,Urban,Yes,No,8560,16.5,Fail
Public,Male,Primary,1 year,Rural,No,Yes,8343,15.5,Pass
Public,Female,Tertiary,2 years,Suburban,No,No,8206,17.7,Fail
Public,Male,Primary,1 year,Rural,Yes,Yes,6596,11.1,Fail
Private,Female,Secondary,1 year,Urban,Yes,Yes,6801,14.4,Pass
Public,Female,Primary,None,Rural,No,No,3806,20.0,Fail
Private,Male,Secondary,2 years,Rural,Yes,No,1537,16.9,Pass
Private,Female,Primary,None,Suburban,Yes,No,6986,16.8,Fail
Public,Male,Primary,None,Suburban,No,No,2841,13.2,Fail
Private,Male,Tertiary,1 year,Urban,No,Yes,9716,10.9,Fail
Public,Male,Primary,None,Urban,No,No,7971,19.5,Pass
Public,Male,Tertiary,None,Urban,Yes,Yes,6625,11.1,Fail
Private,Male,Secondary,None,Suburban,No,Yes,3950,19.9,Fail
Public,Male,Secondary,2 years,Urban,Yes,No,8992,11.3,Pass
Public,Male,Tertiary,None,Urban,No,Yes,5780,11.7,Fail
Private,Male,Primary,1 year,Suburban,Yes,Yes,3368,13.1,Fail
Private,Male,Secondary,2 years,Urban,Yes,Yes,7655,15.1,Pass
Private,Female,Secondary,1 year,Suburban,No,No,9173,17.9,Pass
Private,Female,Secondary,2 years,Urban,Yes,Yes,5495,19.7,Fail
Private,Male,Tertiary,2 years,Suburban,Yes,No,7002,13.6,Fail
Private,Female,Secondary,2 years,Rural,Yes,Yes,7614,10.2,Pass
Public,Female,Secondary,1 year,Suburban,No,Yes,6919,16.2,Pass
Public,Male,Secondary,None,Suburban,Yes,No,1853,17.1,Pass
Public,Male,Secondary,2 years,Suburban,No,Yes,5146,14.0,Fail
Private,Female,Tertiary,1 year,Urban,No,No,4769,11.8,Fail
Public,Male,Tertiary,2 years,Suburban,Yes,Yes,1574,13.1,Pass
Private,Male,Primary,None,Suburban,Yes,Yes,2148,16.6,Pass
Public,Male,Secondary,2 years,Urban,No,No,7293,14.9,Fail
Private,Female,Tertiary,1 year,Rural,No,Yes,7457,17.4,Fail
Public,Male,Primary,2 years,Suburban,Yes,No,8509,12.2,Pass
Private,Female,Primary,1 year,Urban,No,Yes,5777,18.4,Pass
Private,Male,Secondary,None,Rural,No,No,4854,11.6,Pass
Private,Male,Primary,None,Suburban,No,Yes,3491,13.3,Pass
Private,Female,Tertiary,2 years,Rural,Yes,No,4124,15.9,Fail
Public,Male,Primary,None,Suburban,Yes,No,6691,17.4,Pass
Public,Female,Primary,1 year,Suburban,No,No,4051,12.7,Fail
Private,Female,Tertiary,2 years,Rural,Yes,Yes,1004,19.5,Pass
Private,Male,Primary,1 year,Rural,Yes,No,6222,17.1,Pass
Private,Male,Primary,2 years,Rural,No,Yes,6315,12.2,Fail
Public,Female,Primary,1 year,Suburban,No,No,5869,17.3,Pass
Private,Female,Primary,2 years,Suburban,Yes,No,1876,17.0,Pass
Private,Male,Secondary,1 year,Urban,Yes,No,8027,17.5,Fail
Public,Male,Secondary,1 year,Urban,Yes,Yes,5142,19.2,Pass
Private,Male,Tertiary,2 years,Urban,Yes,No,7966,17.1,Fail
Private,Male,Primary,1 year,Suburban,Yes,Yes,8079,13.5,Fail
Public,Male,Tertiary,None,Rural,Yes,No,8987,17.9,Fail
Private,Female,Secondary,1 year,Urban,Yes,No,7799,17.0,Fail
Private,Female,Primary,2 years,Suburban,No,No,5465,15.7,Pass
Public,Female,Primary,None,Rural,Yes,Yes,1635,13.5,Fail
Private,Female,Secondary,None,Urban,Yes,No,2693,19.2,Fail
Public,Male,Primary,1 year,Rural,Yes,Yes,5752,15.1,Fail
Private,Female,Primary,1 year,Rural,Yes,No,9311,16.3,Pass
Private,Male,Secondary,1 year,Urban,No,Yes,1830,14.2,Fail
Private,Male,Tertiary,None,Urban,No,Yes,6177,17.8,Fail
Private,Male,Tertiary,None,Suburban,No,No,9932,13.4,Pass
Private,Male,Primary,None,Rural,Yes,No,9308,18.1,Fail
Public,Male,Secondary,2 years,Urban,Yes,Yes,6949,11.1,Pass
Private,Female,Tertiary,2 years,Urban,No,Yes,3838,17.1,Fail
Private,Male,Tertiary,1 year,Rural,No,Yes,2150,14.8,Pass
Public,Male,Primary,2 years,Rural,Yes,No,8560,17.0,Fail
Public,Male,Tertiary,2 years,Rural,Yes,Yes,2931,15.3,Pass
Private,Female,Secondary,1 year,Urban,Yes,No,2664,11.3,Pass
Public,Male,Tertiary,1 year,Urban,No,No,2081,14.8,Fail
Private,Male,Secondary,None,Suburban,Yes,Yes,1512,19.6,Pass
Public,Male,Secondary,None,Rural,No,Yes,8805,17.5,Pass
Public,Female,Primary,1 year,Urban,No,Yes,6237,13.0,Fail
Private,Male,Tertiary,1 year,Urban,No,Yes,1559,19.4,Pass
Public,Female,Primary,2 years,Rural,Yes,Yes,4672,17.8,Pass
Private,Female,Tertiary,2 years,Urban,Yes,Yes,8404,13.6,Pass
Public,Male,Primary,2 years,Rural,No,Yes,4343,16.0,Pass
Public,Female,Primary,1 year,Urban,No,No,5070,14.3,Pass
Public,Female,Primary,1 year,Rural,No,Yes,1580,11.0,Pass
Private,Male,Tertiary,None,Rural,Yes,Yes,8004,18.1,Fail
Private,Male,Primary,2 years,Urban,Yes,Yes,9130,11.9,Pass
Public,Male,Secondary,None,Rural,Yes,No,4147,14.6,Pass
Private,Male,Tertiary,1 year,Suburban,No,No,5249,17.0,Pass
Private,Female,Secondary,2 years,Suburban,Yes,Yes,2679,19.3,Fail
Private,Female,Primary,None,Rural,Yes,No,4506,10.6,Fail
Public,Male,Primary,1 year,Suburban,Yes,Yes,8253,13.9,Pass
Private,Male,Secondary,None,Urban,Yes,Yes,3744,16.1,Fail
